# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: Example
# Creation date: 05/30/2018 19:54:55
# 
# 05/30/2018 19:54:55
# The parameters defined in the project are:
# ,P1 - H1 [mm],P2 - Y [mm],P3 - X [mm],P4 - R1 [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm]
# 
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 1,1.3072743399111786E-05,0.41815015259611765,0.018185191611375353,0.90325891192908547,0.97965833854265039,0.65496671545727969,19833,101747,0.03621149921553965,2.6173502498527809E-05,4.7706074456492668E-05,0,4921819.2061382448,85613112.006945074,2,6,115,21
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 21:47:10
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 21:50:47
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/25/2026 08:13:12
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/25/2026 23:40:29
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/26/2026 22:26:01
# 
# 
# 05/26/2026 23:03:40
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [mm^3],P13 - Equivalent Stress Minimum [MPa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P16 - Total Deformation Minimum [mm],P15 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 1,24474.159506513803,0.00014879650144581237,0.050483542951583422,0.77422761252259353,0.99259268749415119,0.51771107152556961,6712,33950,0.067793421833043238,0.059205313731210581,0.13659094857700385,0,10.257793287944587,63.538119222679107,4,13,76,17
# 
# 05/28/2026 15:41:39
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [mm^3],P13 - Equivalent Stress Minimum [MPa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P16 - Total Deformation Minimum [mm],P15 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 1,19345.221315766143,4.0715923443732681E-05,0.047752872063252891,0.769242724036885,0.97783002282888276,0.49644651553316077,5211,27526,0.053586263044672219,0.03420197751211719,0.069660170386530926,0,6.3338272657422214,56.671243561315308,3,8,101,18
# 
# A non parametric change occurred and invalidated design point results.
# 05/28/2026 15:43:09
# 
# 
# 05/28/2026 22:32:54
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [mm^3],P13 - Equivalent Stress Minimum [MPa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P16 - Total Deformation Minimum [mm],P15 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 0,18808.008972002284,0.00010260279703241472,0.043300127519983009,0.77202154564273662,0.98744749830798961,0.527524502078507,5097,27055,0.052098184852446335,0.056003366206397613,0.11936633534513412,0,9.0209155556263418,71.7589970631179,3,11,86,24
# 
# A non parametric change occurred and invalidated design point results.
# 06/15/2026 14:22:56
# 
# 
# 06/17/2026 22:36:37
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [mm^3],P13 - Equivalent Stress Minimum [MPa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P16 - Total Deformation Minimum [mm],P15 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 0,11885.235207687063,4.3024273243322725E-06,0.047769987377122278,0.77630507591575448,0.98192998970811463,0.517015090888075,3302,19415,0.032922101525293165,0.070185641996945575,0.11871828676912968,0,9.4410106936698366,101.98386687846644,2,15,115,28
DP 0,19005.929309178446,9.1938804272975E-07,0.043792317999179681,0.77291249349224411,0.98350971594839087,0.51529430918936459,5154,27296,0.0526464241864243,0.023513670433268435,0.0421227096064028,0,4.3243277502677,50.270040022116042,3,10,113,28
DP 0,31676.54884863074,3.9509653864063375E-07,0.047582733503932932,0.77446271851502058,0.97876751496425884,0.52910901660075693,8660,42194,0.08774404031070715,0.015576561111264261,0.028844948854606773,0,2.8479231158211324,30.304616916940549,5,10,110,28
